GeographyCode,QS104EW0001,QS104EW0002,QS104EW0003
E06000001,92028,44751,47277
E06000002,138412,67732,70680
E06000003,135177,65655,69522
E06000004,191610,94082,97528
E06000005,105564,51483,54081
E06000006,125746,61368,64378
E06000007,202228,100300,101928
E06000008,147489,73547,73942
E06000009,142065,69775,72290
E06000010,256406,128420,127986
E06000011,334179,163388,170791
E06000012,159616,78247,81369
E06000013,167446,82623,84823
E06000014,198051,96254,101797
E06000015,248752,123046,125706
E06000016,329839,162884,166955
E06000017,37369,18915,18454
E06000018,305680,153777,151903
E06000019,183477,90302,93175
E06000020,166641,82549,84092
E06000021,249008,123995,125013
E06000022,176016,86072,89944
E06000023,428234,213071,215163
E06000024,202566,98463,104103
E06000025,262767,130424,132343
E06000026,256384,126684,129700
E06000027,130959,63110,67849
E06000028,183491,91386,92105
E06000029,147645,72121,75524
E06000030,209156,104618,104538
E06000031,183631,90859,92772
E06000032,203201,101954,101247
E06000033,173658,85037,88621
E06000034,157705,77823,79882
E06000035,263925,130825,133100
E06000036,113205,56107,57098
E06000037,153822,76321,77501
E06000038,155698,77967,77731
E06000039,140205,70120,70085
E06000040,144560,71328,73232
E06000041,154380,76464,77916
E06000042,248821,123116,125705
E06000043,273369,136108,137261
E06000044,205056,103201,101855
E06000045,236882,119453,117429
E06000046,138265,67424,70841
E06000047,513242,251280,261962
E06000048,316028,154124,161904
E06000049,370127,181409,188718
E06000050,329608,160586,169022
E06000051,306129,151606,154523
E06000052,532273,257805,274468
E06000053,2203,1102,1101
E06000054,470981,231754,239227
E06000055,157479,77312,80167
E06000056,254381,126044,128337
E07000004,174137,86241,87896
E07000005,92635,45049,47586
E07000006,66867,32439,34428
E07000007,171644,84617,87027
E07000008,123867,62984,60883
E07000009,83818,41443,42375
E07000010,95262,46811,48451
E07000011,169508,84532,84976
E07000012,148755,73790,74965
E07000026,96422,47371,49051
E07000027,69087,34185,34902
E07000028,107524,52478,55046
E07000029,70603,35476,35127
E07000030,52564,26033,26531
E07000031,103658,50522,53136
E07000032,122309,60192,62117
E07000033,75866,37388,38478
E07000034,103788,50900,52888
E07000035,71116,35071,36045
E07000036,112081,54934,57147
E07000037,90892,44774,46118
E07000038,99023,48564,50459
E07000039,94611,46963,47648
E07000040,132457,63321,69136
E07000041,117773,57211,60562
E07000042,77750,38070,39680
E07000043,93667,45558,48109
E07000044,83140,40116,43024
E07000045,124220,60179,64041
E07000046,63839,31167,32672
E07000047,53553,26123,27430
E07000048,47752,22874,24878
E07000049,87166,41990,45176
E07000050,68583,34216,34367
E07000051,44973,22028,22945
E07000052,99264,47731,51533
E07000053,65167,32432,32735
E07000061,99412,47559,51853
E07000062,90254,44014,46240
E07000063,97502,47363,50139
E07000064,90588,43021,47567
E07000065,148915,71807,77108
E07000066,174497,84645,89852
E07000067,147084,72137,74947
E07000068,73601,35582,38019
E07000069,88011,42907,45104
E07000070,168310,82914,85396
E07000071,173074,85343,87731
E07000072,124659,60440,64219
E07000073,81944,39674,42270
E07000074,61629,30458,31171
E07000075,83287,40787,42500
E07000076,138048,66071,71977
E07000077,79443,39203,40240
E07000078,115732,56512,59220
E07000079,82881,40104,42777
E07000080,81961,40272,41689
E07000081,121688,60104,61584
E07000082,112779,55514,57265
E07000083,81943,40080,41863
E07000084,167799,83116,84683
E07000085,115608,56237,59371
E07000086,125199,61384,63815
E07000087,111581,54634,56947
E07000088,82622,40736,41886
E07000089,91033,45174,45859
E07000090,120684,58607,62077
E07000091,176462,84784,91678
E07000092,93807,46757,47050
E07000093,116398,56880,59518
E07000094,116595,56629,59966
E07000095,93609,45357,48252
E07000096,144847,71307,73540
E07000097,137687,67690,69997
E07000098,100031,48290,51741
E07000099,127114,62380,64734
E07000100,140664,69040,71624
E07000101,83957,41483,42474
E07000102,87317,42371,44946
E07000103,90301,44828,45473
E07000104,110535,54364,56171
E07000105,117956,57232,60724
E07000106,151145,72638,78507
